symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
POWERINDIA,35525.0,6.49,32710.0,35790.0,32466.41,29555.01,26411.19,23353.25,95.68
SAIL,199.04,-0.01,194.3,199.8,187.11,175.21,164.07,152.14,95.02
SAILIFE,1141.3,1.41,1112.2,1151.0,1082.7,1033.39,985.66,928.31,89.64
GRANULES,758.65,-1.02,754.5,771.8,721.19,675.63,635.66,595.71,88.14
MCX,3441.7,0.79,3369.2,3451.9,3124.79,2863.86,2611.37,2288.12,87.55
AUROPHARMA,1517.5,0.31,1505.1,1539.0,1461.35,1386.24,1314.14,1250.9,84.25
BAJAJ-AUTO,10462.5,2.52,10078.5,10483.0,10160.37,9850.19,9613.31,9331.23,83.75
MARICO,838.45,0.84,822.0,840.0,813.83,789.48,772.05,753.44,82.0
NAM-INDIA,1103.0,1.92,1065.0,1108.8,1052.11,991.28,944.92,898.0,81.31
STARHEALTH,519.8,0.52,504.95,522.0,509.46,494.82,482.13,470.62,80.85
GESHIP,1665.4,-2.94,1634.1,1719.2,1553.86,1468.82,1367.76,1243.27,80.59
BSE,4218.6,0.66,4150.0,4232.0,3839.41,3482.08,3190.75,2932.79,80.25
APOLLOHOSP,8078.5,0.65,7814.5,8140.0,7904.68,7722.97,7588.59,7466.9,79.59
ASTERDM,764.85,2.13,742.05,770.0,730.34,697.03,670.07,646.87,78.65
POLYCAB,9199.0,0.4,9016.5,9238.0,8708.02,8220.8,7903.76,7540.03,76.44
ACUTAAS,2880.6,-0.2,2849.0,2909.8,2678.44,2471.25,2238.31,1945.86,74.85
CRAFTSMAN,8575.0,0.46,8401.0,8619.0,8214.83,7828.15,7562.01,7150.99,74.76
OIL,504.4,0.54,498.75,511.95,488.52,478.93,467.3,452.86,74.38
NLCINDIA,354.65,-1.03,352.65,359.1,328.9,303.41,284.6,269.24,71.93
KEI,5119.8,0.74,5040.1,5139.0,4981.53,4772.3,4584.23,4345.16,71.4
TIMKEN,3656.2,3.34,3506.5,3738.0,3518.52,3435.24,3330.33,3228.23,71.32
HONASA,356.75,0.63,349.6,358.65,346.95,330.35,314.41,301.53,70.96
ONGC,298.3,0.61,293.85,301.75,292.15,284.57,274.33,263.59,70.91
MOTHERSON,132.17,0.52,129.51,136.0,126.72,123.44,120.39,115.3,70.82
EMCURE,1734.0,1.39,1701.0,1756.9,1670.93,1614.84,1551.86,1464.05,69.89
CGPOWER,853.25,4.13,812.6,857.75,822.68,777.91,740.59,717.32,68.26
SCHNEIDER,1300.0,4.44,1229.9,1305.0,1231.21,1103.22,987.64,894.77,67.9
AJANTPHARM,3188.8,-1.83,3182.0,3258.0,3050.48,2948.68,2869.13,2777.41,65.51
BHEL,408.4,1.82,396.0,410.0,377.45,335.12,305.92,283.41,64.53
GPIL,305.85,5.27,291.5,320.0,293.23,285.26,273.8,257.14,63.19
RRKABEL,1962.4,2.27,1900.0,1974.8,1805.38,1634.18,1534.19,1453.92,63.14
JBCHEPHARM,2163.6,-0.37,2138.1,2189.5,2109.46,2060.02,1994.85,1906.97,63.02
LAURUSLABS,1361.1,1.2,1335.6,1363.4,1234.42,1148.14,1085.07,996.12,61.16
ADANIPORTS,1772.6,0.56,1744.3,1777.8,1705.06,1605.61,1542.61,1492.95,57.75
HINDALCO,1085.5,3.55,1038.4,1090.0,1047.84,1006.72,957.86,886.76,56.89
SUNPHARMA,1880.3,-0.11,1872.0,1892.9,1826.62,1781.01,1754.36,1731.11,56.07
RADICO,3565.9,-0.94,3555.7,3679.0,3388.45,3173.41,3059.7,2970.12,55.63
APARINDS,12676.0,2.83,12141.0,12748.0,12262.39,11418.11,10532.65,9667.51,54.99
NAVINFLUOR,7046.5,-0.41,6952.5,7099.0,6839.68,6574.23,6302.14,5877.44,54.69
DRREDDY,1321.9,-1.0,1319.6,1336.0,1300.45,1283.36,1272.27,1263.33,53.52
SONACOMS,588.6,1.53,570.05,590.35,578.79,558.05,534.47,515.09,53.37
WELCORP,1316.7,2.81,1272.5,1335.0,1253.43,1108.7,998.1,924.16,52.53
GLENMARK,2379.0,-1.12,2370.0,2427.0,2332.9,2255.83,2164.17,2037.75,51.82
CUMMINSIND,5399.5,2.77,5183.0,5419.0,5250.16,5037.76,4780.41,4414.23,51.34
